rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/ep_rew_mean,train/loss,train/n_updates,time/total_timesteps,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward
0.9998764999999996,13.0,1,0.0001,-0.34,0.001996760256588459,12,13,11,1,,
0.9998575000000001,7.5,0,0.0001,-0.225,0.0001803711784305051,14,15,18,2,,
0.9998195000000001,,,0.0001,,0.003118609543889761,19,20,,,3.0,-0.019999999552965164
0.9997435,9.0,0,0.0001,-0.35000000000000003,0.0013110499130561948,26,27,30,3,,
0.9996865000000005,8.25,0,0.0001,-0.3225,0.0018510703230276704,32,33,38,4,,
0.9996295,,,0.0001,,0.00033383991103619337,39,40,,,3.0,-0.019999999552965164
0.9995630000000001,9.2,0,0.0001,-0.288,0.00104339059907943,45,46,50,5,,
0.9995439999999995,8.0,0,0.0001,-0.24166666666666667,0.00047327845823019743,47,48,58,6,,
0.9995345000000003,7.0,0,0.0001,-0.20714285714285713,0.0006010856595821679,48,49,60,7,,
0.9994585000000002,7.125,0,0.0001,-0.21375,0.0004926181281916797,56,57,66,8,,
0.9994394999999997,,,0.0001,,0.0007183200214058161,59,60,,,3.0,-0.019999999552965164
0.9992969999999999,8.222222222222221,0,0.0001,-0.21555555555555556,0.0013679566327482462,73,74,80,9,,
0.9992685000000001,7.7,0,0.0001,-0.193,0.00033224973594769835,76,77,83,10,,
0.9992494999999995,,,0.0001,,0.0006662044324912131,79,80,,,3.0,-0.019999999552965164
0.9992209999999998,7.454545454545454,0,0.0001,-0.17454545454545453,0.011901221238076687,81,82,93,11,,
0.9990595000000004,,,0.0001,,0.0030197384767234325,99,100,,,3.0,-0.019999999552965164
0.9988695000000002,,,0.0001,,0.0032074484042823315,119,120,,,3.0,-0.019999999552965164
0.9986890000000003,11.5,1,0.0001,-0.3458333333333334,0.0027631837874650955,137,138,126,12,,
0.9986794999999999,,,0.0001,,0.0005281043122522533,139,140,,,3.0,-0.019999999552965164
0.9986699999999997,10.76923076923077,1,,-0.31923076923076926,,,140,135,13,,
0.9984894999999998,,,0.0001,,0.001902777119539678,159,160,,,3.0,-0.019999999552965164
0.9982994999999997,,,0.0001,,0.0012183680664747953,179,180,,,3.0,-0.019999999552965164
0.9981760000000003,13.714285714285714,1,0.0001,-0.45642857142857146,0.0013813605764880776,191,192,169,14,,
0.9981095000000005,,,0.0001,,0.0012637767940759659,199,200,,,3.0,-0.019999999552965164
